City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
220,Vestmannaeyjar,IS,38.8,overcast clouds,63.4427,-20.2734,Glamping & Camping
222,Gerash,IR,50.0,clear sky,27.6652,54.1371,Sa'adat House
223,Serenje,ZM,63.72,overcast clouds,-13.2325,30.2352,SERENJE SOCH INN
224,Ravar,IR,47.43,clear sky,31.2656,56.8055,computertik
225,Saint-Augustin,CA,33.26,moderate rain,51.226000000000006,-58.6502,
229,Kodiak,US,28.4,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
233,Muros,ES,55.99,light rain,42.7762,-9.0603,Apartment Av. Castelao
234,Kiama,AU,64.0,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
236,North Bend,US,46.99,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
239,Lasa,IT,37.99,mist,46.6166,10.7002,Pension Feldgärtenhof
242,Fallon,US,46.4,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
245,Murray Bridge,AU,66.99,light rain,-35.1167,139.2667,Balcony On Sixth Lodge
247,Miami,US,68.0,clear sky,25.7743,-80.1937,Miami Sun Hotel
250,Gazanjyk,TM,49.59,overcast clouds,39.2446,55.5154,Railway motel
251,Veraval,IN,69.89,clear sky,20.9,70.3667,Lords Inn Somnath
252,Broome,US,27.0,mist,42.2506,-75.833,Chenango Valley State Park
253,Kruisfontein,ZA,71.01,clear sky,-34.0033,24.7314,Oyster Bay House Rental
254,Normal,US,35.6,clear sky,40.5142,-88.9906,Holiday Inn Express & Suites Bloomington - Normal
260,Bardiyah,LY,59.04,clear sky,31.7561,25.0865,بورتو بردية
263,Airai,TL,61.29,overcast clouds,-8.9266,125.4092,Juvinal Martin
264,Bethel,US,34.0,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
265,Brentwood,US,37.0,overcast clouds,40.7812,-73.2462,Holiday Inn Express Hauppauge-Long Island
266,Luxor,EG,69.8,broken clouds,25.6989,32.6421,Iberotel Luxor
267,Mantua,IT,44.01,broken clouds,45.1667,10.7833,Hotel la Favorita
268,San Quintin,MX,64.76,broken clouds,30.4833,-115.95,Old Mill Hotel
269,Morro Bay,US,61.0,few clouds,35.3658,-120.8499,Inn at Morro Bay
272,Kyabram,AU,63.0,scattered clouds,-36.3167,145.05,Kyabram Motor Inn
273,Chuy,UY,70.32,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
275,Jilib,SO,71.53,overcast clouds,0.4883,42.7854,
277,Carbonia,IT,55.4,clear sky,39.1672,8.5222,Lu 'Hotel
281,Suciu De Sus,RO,43.0,broken clouds,47.4333,24.0333,Pensiunea Popasu'
283,Hasaki,JP,33.8,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
288,Kaitangata,NZ,54.0,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
290,Pyay,MM,62.42,clear sky,18.8167,95.2167,Shwe Pyi Thar
292,Sorland,NO,32.0,few clouds,67.667,12.6934,Sjybrygga fiskecamp
296,Barcelona,ES,60.01,clear sky,41.3888,2.1590000000000003,Axel Hotel Barcelona
298,Lilongwe,MW,70.36,overcast clouds,-13.9669,33.7873,Spendwise furnished apartments.
299,Vad,RU,27.68,snow,55.5301,44.2114,Riv'yera Rezort Otel'
302,Vestmanna,FO,30.2,few clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
308,Roma,US,28.4,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
311,Semnan,IR,43.75,broken clouds,35.5729,53.3971,Semnan Tourist Hotel
