City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Coihaique,CL,-45.5752,-72.0662,87.8,27,0,5.75,clear sky
141,Magadan,RU,59.5667,150.8,0.18,82,100,11.88,overcast clouds
142,Portland,US,45.5234,-122.6762,43.0,75,90,4.47,overcast clouds
143,Inuvik,CA,68.3499,-133.7218,-40.0,67,87,1.14,overcast clouds
144,Georgetown,MY,5.4112,100.3354,78.8,73,20,2.3,few clouds
145,Carutapera,BR,-1.195,-46.02,84.51,67,0,10.38,clear sky
146,Bandarbeyla,SO,9.4942,50.8122,73.08,70,0,18.57,clear sky
147,Narwar,IN,25.65,77.9,61.99,33,96,2.59,overcast clouds
148,Sao Filipe,CV,14.8961,-24.4956,72.63,76,62,9.66,broken clouds
149,San Patricio,US,28.017,-97.5169,77.0,53,75,19.57,broken clouds
150,Ostrovskoye,RU,57.8057,42.2433,18.52,97,100,7.96,snow
151,Stornoway,GB,58.2093,-6.3865,37.4,60,10,18.41,clear sky
152,Khilok,RU,51.3674,110.4676,4.53,87,100,4.29,overcast clouds
153,Dzhebariki-Khaya,RU,62.2167,135.8,-53.75,66,56,0.25,broken clouds
154,Marabba,SD,12.35,32.1833,87.26,17,0,10.85,clear sky
155,Peleduy,RU,59.6289,112.7406,-14.06,87,100,4.05,overcast clouds
156,General Roca,AR,-39.0333,-67.5833,91.4,17,0,9.22,clear sky
157,Touros,BR,-5.1989,-35.4608,84.2,61,20,18.41,few clouds
158,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.2,93,90,20.71,light snow
159,Daitari,IN,21.1,85.75,56.39,48,0,3.15,clear sky
160,Shimoda,JP,34.6667,138.95,34.0,69,0,1.01,clear sky
161,Manggar,ID,-2.8833,108.2667,79.2,80,100,12.24,overcast clouds
162,Codrington,AU,-38.2667,141.9667,57.4,75,99,9.75,overcast clouds
163,Korhogo,CI,9.45,-5.6333,80.73,15,0,3.24,clear sky
164,Shelburne,CA,44.0787,-80.2041,30.0,68,1,16.11,clear sky
165,Las Vegas,US,36.175,-115.1372,69.8,19,1,8.05,clear sky
166,Alta Floresta,BR,-9.8756,-56.0861,89.6,58,40,3.44,scattered clouds
167,Hithadhoo,MV,-0.6,73.0833,83.16,71,98,6.29,overcast clouds
168,Robe,AU,-37.1833,139.75,62.82,70,100,6.93,overcast clouds
169,Mesetas,CO,3.3846,-74.0442,89.64,35,99,5.5,overcast clouds
170,Soc Trang,VN,9.6033,105.98,71.6,100,20,1.14,few clouds
171,Fontem,CM,5.4685,9.8818,74.14,38,6,1.57,clear sky
172,Souillac,MU,-20.5167,57.5167,78.8,89,75,4.61,light rain
173,Lorengau,PG,-2.0226,147.2712,81.09,70,70,0.78,broken clouds
174,Aranos,NA,-24.1333,19.1167,79.9,24,56,10.04,broken clouds
175,Joshimath,IN,30.5667,79.5667,40.55,58,100,1.99,overcast clouds
176,Provideniya,RU,64.3833,-173.3,-5.01,85,100,14.74,overcast clouds
177,Porkhov,RU,57.765,29.5561,21.2,93,90,6.71,light snow
178,Zaterechnyy,RU,44.7931,45.2097,44.4,81,100,6.26,overcast clouds
179,Ust-Nera,RU,64.5667,143.2,-26.28,76,98,3.58,overcast clouds
180,Ilulissat,GL,69.2167,-51.1,-7.6,49,20,4.61,few clouds
181,Hay River,CA,60.8156,-115.7999,-13.0,64,100,6.91,light snow
182,Bar Harbor,US,44.3876,-68.2039,36.0,93,90,3.44,overcast clouds
183,Avera,US,33.194,-82.5271,53.6,20,1,6.91,clear sky
184,Kidal,ML,18.4411,1.4078,73.17,16,0,11.27,clear sky
185,Ancud,CL,-41.8697,-73.8203,71.6,56,0,6.91,clear sky
186,Boguchany,RU,58.3814,97.4531,7.34,94,100,2.13,light snow
187,Buala,SB,-8.145,159.5921,78.69,87,100,12.1,moderate rain
188,Umm Lajj,SA,25.0213,37.2685,77.54,67,71,10.65,broken clouds
189,Sept-Iles,CA,50.2001,-66.3821,28.4,93,100,14.97,light snow
190,Bengbu,CN,32.9408,117.3608,40.48,70,3,10.58,clear sky
191,Komsomolskiy,UZ,40.4272,71.7189,37.4,70,0,6.91,mist
192,Estreito,BR,-5.7833,-43.25,86.99,66,23,1.77,few clouds
193,Ponta Do Sol,PT,32.6667,-17.1,55.0,67,70,5.01,broken clouds
194,Mochicahui,MX,25.9333,-108.9333,80.6,32,75,9.22,broken clouds
195,Richards Bay,ZA,-28.783,32.0377,75.27,94,100,4.23,moderate rain
196,Ormoz,SI,46.4114,16.1544,51.8,71,20,14.97,few clouds
197,Upernavik,GL,72.7868,-56.1549,-14.44,71,8,4.94,clear sky
198,Zlobin,HR,45.2924,14.6541,55.4,88,75,12.66,broken clouds
199,Bokoro,TD,12.3807,17.0568,79.11,15,3,11.18,clear sky
200,Cidreira,BR,-30.1811,-50.2056,78.46,87,100,12.26,heavy intensity rain
201,Faanui,PF,-16.4833,-151.75,81.37,73,0,11.81,clear sky
202,Palu,ID,-0.8917,119.8707,75.24,81,97,2.21,overcast clouds
203,Mandiana,GN,10.6333,-8.6833,78.58,16,41,1.07,scattered clouds
204,Severo-Kurilsk,RU,50.6789,156.125,11.01,92,100,33.8,light snow
205,Darnah,LY,32.767,22.6367,59.14,74,0,10.0,clear sky
206,Yerbogachen,RU,61.2767,108.0108,-14.17,89,100,3.78,overcast clouds
207,Inhambane,MZ,-23.865,35.3833,82.4,94,75,2.3,broken clouds
208,Wattegama,LK,6.7989,81.4808,77.0,83,20,11.5,few clouds
209,Gualeguaychu,AR,-33.0094,-58.5172,73.0,87,95,8.01,overcast clouds
210,Gat,IL,31.61,34.7642,64.99,40,65,5.01,broken clouds
211,Suez,EG,29.9737,32.5263,66.25,43,98,16.98,overcast clouds
212,Kondinskoye,RU,59.6481,67.41,4.73,94,0,9.28,clear sky
