City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Solhan,TR,2021-02-03 20:04:55,38.9634,41.0293,32.61,87,100,4.45
210,Samarai,PG,2021-02-03 20:04:55,-10.6167,150.6667,80.89,78,100,7.87
211,Uusikaupunki,FI,2021-02-03 20:04:36,60.8004,21.4084,5.0,85,0,3.44
212,Ust-Nera,RU,2021-02-03 20:04:55,64.5667,143.2,-26.28,76,98,3.58
213,Dhenkanal,IN,2021-02-03 20:04:56,20.6667,85.6,64.4,88,0,1.43
214,Nadym,RU,2021-02-03 20:04:56,65.5333,72.5167,0.16,93,88,5.23
215,Santiago,CL,2021-02-03 20:00:26,-33.4569,-70.6483,90.0,51,0,5.75
216,Redkino,RU,2021-02-03 20:04:56,56.6475,36.2967,25.81,98,100,6.71
217,Chapais,CA,2021-02-03 20:04:56,49.7834,-74.8492,26.6,63,90,13.8
218,Loukhi,RU,2021-02-03 20:04:56,66.0764,33.0381,6.69,95,60,6.08
219,Namibe,AO,2021-02-03 20:03:55,-15.1961,12.1522,73.27,71,100,7.16
220,Vardo,NO,2021-02-03 20:04:56,70.3705,31.1107,30.2,74,75,20.71
221,Mchinji,MW,2021-02-03 20:04:57,-13.7984,32.8802,66.92,94,100,3.6
222,Pitogo,PH,2021-02-03 20:04:57,13.7847,122.0881,75.54,82,10,13.18
223,Ilulissat,GL,2021-02-03 20:04:57,69.2167,-51.1,-7.6,49,20,4.61
224,Broken Hill,AU,2021-02-03 20:04:57,-31.95,141.4333,71.6,28,100,8.05
225,Sungaipenuh,ID,2021-02-03 20:04:57,-2.0833,101.3833,64.47,95,99,3.36
226,Andijon,UZ,2021-02-03 20:04:57,40.7821,72.3442,34.0,77,0,14.0
227,Price,US,2021-02-03 20:04:57,39.5994,-110.8107,41.0,65,75,20.71
228,Cimitarra,CO,2021-02-03 20:04:58,6.3142,-73.9497,88.57,61,46,1.59
229,Bengkulu,ID,2021-02-03 20:04:58,-3.8004,102.2655,75.54,86,100,5.08
